,DriverNumber,Driver,DriverId,TeamName,ClassifiedPosition,QualifyingPosition,RaceTime_seconds,FP1_avg,FP1_best,fp1_air_temp,fp1_humidity,fp1_pressure,fp1_track_temp,fp1_wind_speed,fp1_session_wet,fp1_rainfall_readings,FP2_avg,FP2_best,fp2_air_temp,fp2_humidity,fp2_pressure,fp2_track_temp,fp2_wind_speed,fp2_session_wet,fp2_rainfall_readings,FP3_avg,FP3_best,fp3_air_temp,fp3_humidity,fp3_pressure,fp3_track_temp,fp3_wind_speed,fp3_session_wet,fp3_rainfall_readings,Year,race_Imola,race_Miami,race_Suzuka,race_Zandvoort
1,1,VER,max_verstappen,Red Bull Racing,1,1.0,4926.983,105.10083333333334,89.065,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,91.5235,88.67,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,93.60438461538462,88.497,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
4,4,NOR,norris,McLaren,2,2.0,1.423,100.33123529411763,88.549,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,93.967,88.163,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,106.50030769230769,87.965,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
81,81,PIA,piastri,McLaren,3,3.0,2.129,107.27286363636364,89.708,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,99.95700000000001,88.114,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,102.45416666666667,87.991,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
16,16,LEC,leclerc,Ferrari,4,4.0,16.097,107.00190909090908,88.965,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,110.85340000000001,88.586,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,110.614,88.414,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
63,63,RUS,russell,Mercedes,5,5.0,17.362,101.7129090909091,88.712,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,91.27000000000001,88.567,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,113.73475,88.077,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
12,12,ANT,antonelli,Mercedes,6,6.0,18.671,103.36880952380952,89.284,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,91.9795,89.733,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,102.5425,89.126,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
44,44,HAM,hamilton,Ferrari,7,8.0,29.182,100.52122222222222,89.051,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,91.6186,88.544,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,109.02885714285715,88.524,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
6,6,HAD,hadjar,Racing Bulls,8,7.0,37.134,111.49040000000001,89.225,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,100.9334,88.518,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,102.3400909090909,88.786,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
23,23,ALB,albon,Williams,9,9.0,40.367,111.8442,89.392,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,113.85775,89.023,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,103.1235,88.554,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
87,87,BEA,bearman,Haas F1 Team,10,10.0,54.529,106.27359999999999,90.077,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,90.43400000000001,89.654,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,97.62118181818182,90.084,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
14,14,ALO,alonso,Aston Martin,11,12.0,57.333,110.277,89.222,13.598765432098766,41.65432098765432,1011.7617283950617,35.94197530864197,4.630864197530864,False,0,89.978,89.978,13.586666666666666,42.13333333333333,1010.6200000000002,32.65733333333333,5.221333333333335,False,0.0,104.24383333333333,89.772,14.227999999999998,38.16,1015.0599999999998,38.547999999999995,3.3240000000000007,False,0.0,2025,False,False,True,False
