,Driver,TeamId,GridPosition,TotalSectorTime (s),Grid_Gap_to_Pole,Quali_vs_Teammate,Race,Year,CleanAirPace_seconds,Practice_Gap_to_Fastest,Practice_vs_Quali_Rank,AirTemp,Pressure,Rain,WindSpeed,TrackTemp,Is_Monza
0,PIA,mclaren,2.0,108.40346938775508,1.0,-6.5,Baku,2024,102.749,0.23499999999999943,1.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
1,LEC,ferrari,1.0,108.60787755102042,0.0,-1.0,Baku,2024,103.484,0.9699999999999989,8.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
2,RUS,mercedes,5.0,108.97908163265305,4.0,-7.0,Baku,2024,102.514,0.0,-4.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
3,NOR,mclaren,15.0,108.94306122448978,14.0,6.5,Baku,2024,102.737,0.22299999999999898,-13.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
4,VER,red_bull,6.0,108.92920833333334,5.0,1.0,Baku,2024,102.862,0.347999999999999,-2.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
5,ALO,aston_martin,7.0,110.07753061224489,6.0,-3.0,Baku,2024,103.474,0.960000000000008,1.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
6,ALB,williams,9.0,110.07502040816328,8.0,0.5,Baku,2024,103.194,0.6800000000000068,-4.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
7,COL,williams,8.0,110.12742857142857,7.0,-0.5,Baku,2024,103.238,0.7240000000000038,-2.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
8,HAM,mercedes,19.0,110.01891836734694,18.0,7.0,Baku,2024,103.55,1.0360000000000014,-8.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
9,BEA,haas,10.0,110.16075510204081,9.0,-1.0,Baku,2024,104.547,2.0330000000000013,7.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
10,HUL,haas,12.0,110.11836734693878,11.0,1.0,Baku,2024,104.164,1.6500000000000057,3.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
11,GAS,alpine,18.0,110.33200000000002,17.0,-1.0,Baku,2024,103.876,1.362000000000009,-5.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
12,RIC,rb,14.0,109.98464583333333,13.0,1.5,Baku,2024,105.056,2.5420000000000016,5.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
13,ZHO,sauber,17.0,110.35585416666667,16.0,0.5,Baku,2024,104.869,2.355000000000004,1.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
14,OCO,alpine,20.0,110.5473125,19.0,1.0,Baku,2024,105.81,3.2960000000000065,0.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
15,BOT,sauber,16.0,110.97045833333334,15.0,-0.5,Baku,2024,104.187,1.6730000000000018,0.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
16,PER,red_bull,4.0,108.48489583333334,3.0,-1.0,Baku,2024,103.389,0.875,3.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
17,SAI,ferrari,3.0,108.47856250000001,2.0,1.0,Baku,2024,103.95,1.436000000000007,11.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
18,STR,aston_martin,13.0,110.68331818181818,12.0,3.0,Baku,2024,103.571,1.0570000000000022,-1.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
19,TSU,rb,11.0,115.30784615384616,10.0,-1.5,Baku,2024,103.503,0.9890000000000043,-1.0,26.70592105263158,1017.6401315789473,False,1.5513157894736842,44.34934210526316,0
20,NOR,mclaren,1.0,103.16540384615385,0.0,-0.5,Australia,2025,76.58,0.6589999999999918,9.0,15.707865168539326,1009.9016853932583,True,3.475280898876404,18.942134831460674,0
21,VER,red_bull,3.0,103.03248076923077,2.0,-7.5,Australia,2025,76.002,0.08099999999998886,0.0,15.707865168539326,1009.9016853932583,True,3.475280898876404,18.942134831460674,0
22,RUS,mercedes,4.0,103.28330769230769,3.0,-6.0,Australia,2025,75.96,0.03899999999998727,-2.0,15.707865168539326,1009.9016853932583,True,3.475280898876404,18.942134831460674,0
23,ANT,mercedes,16.0,103.86667924528302,15.0,6.0,Australia,2025,76.206,0.2849999999999966,-11.0,15.707865168539326,1009.9016853932583,True,3.475280898876404,18.942134831460674,0
24,ALB,williams,6.0,104.15309433962264,5.0,-2.0,Australia,2025,76.258,0.3369999999999891,1.0,15.707865168539326,1009.9016853932583,True,3.475280898876404,18.942134831460674,0
25,STR,aston_martin,13.0,104.07437735849055,12.0,0.5,Australia,2025,76.948,1.0269999999999868,1.0,15.707865168539326,1009.9016853932583,True,3.475280898876404,18.942134831460674,0
26,HUL,sauber,17.0,104.05184905660377,16.0,1.0,Australia,2025,77.146,1.2249999999999943,-1.0,15.707865168539326,1009.9016853932583,True,3.475280898876404,18.942134831460674,0
27,LEC,ferrari,7.0,103.46148076923076,6.0,-0.5,Australia,2025,76.188,0.2669999999999959,-3.0,15.707865168539326,1009.9016853932583,True,3.475280898876404,18.942134831460674,0
28,PIA,mclaren,2.0,101.71735294117647,1.0,0.5,Australia,2025,75.921,0.0,-1.0,15.707865168539326,1009.9016853932583,True,3.475280898876404,18.942134831460674,0
29,HAM,ferrari,8.0,103.41111538461539,7.0,0.5,Australia,2025,76.378,0.45699999999999363,0.0,15.707865168539326,1009.9016853932583,True,3.475280898876404,18.942134831460674,0
30,GAS,alpine,9.0,104.33741509433962,8.0,-2.5,Australia,2025,76.719,0.7979999999999876,3.0,15.707865168539326,1009.9016853932583,True,3.475280898876404,18.942134831460674,0
