,Driver,TeamId,Quali_vs_Teammate,Race,Year,Best_Pace_seconds,Practice_Gap_to_Fastest,Practice_vs_Quali_Rank,AirTemp,Humidity,Pressure,Rain,WindSpeed,TrackTemp,Is_US,Downforce_Level,Team_aston_martin,Team_ferrari,Team_haas,Team_mclaren,Team_mercedes,Team_rb,Team_red_bull,Team_sauber,Team_williams,Race_Austria,Race_Bahrain,Race_Baku,Race_Belgium,Race_Canada,Race_China,Race_Hungary,Race_Imola,Race_Japan,Race_Miami,Race_Monaco,Race_Monza,Race_Netherlands,Race_Saudi Arabia,Race_Silverstone,Race_Singapore,Race_Spain,Race_United States,GridPos_1.0,GridPos_2.0,GridPos_3.0,GridPos_4.0,GridPos_5.0,GridPos_6.0,GridPos_7.0,GridPos_8.0,GridPos_9.0,GridPos_10.0,GridPos_11.0,GridPos_12.0,GridPos_13.0,GridPos_14.0,GridPos_15.0,GridPos_16.0,GridPos_17.0,GridPos_18.0,GridPos_19.0,GridPos_20.0,Driver_ALB,Driver_ALO,Driver_ANT,Driver_BEA,Driver_BOR,Driver_BOT,Driver_COL,Driver_DOO,Driver_GAS,Driver_HAD,Driver_HAM,Driver_HUL,Driver_LAW,Driver_LEC,Driver_MAG,Driver_NOR,Driver_OCO,Driver_PER,Driver_PIA,Driver_RUS,Driver_SAI,Driver_STR,Driver_TSU,Driver_VER,Driver_ZHO,Year_encoded
11,GAS,alpine,-3.0,United States,2024,94.375,0.7729999999999961,6.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
12,ALO,aston_martin,-3.0,United States,2024,94.112,0.5099999999999909,2.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
13,TSU,rb,-4.5,United States,2024,94.313,0.7109999999999985,0.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
14,STR,aston_martin,3.0,United States,2024,94.619,1.016999999999996,2.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
15,ALB,williams,-0.5,United States,2024,94.618,1.0159999999999911,0.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
16,BOT,sauber,-1.0,United States,2024,95.041,1.438999999999993,2.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
17,OCO,alpine,3.0,United States,2024,94.806,1.2039999999999935,5.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
18,ZHO,sauber,1.0,United States,2024,97.219,3.6169999999999902,2.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
19,HAM,mercedes,-1.5,United States,2024,93.963,0.36099999999999,-11.0,28.12129032258064,35.535483870967745,1006.5090322580643,0,1.5,46.60193548387097,1,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
20,NOR,mclaren,-0.5,Australia,2025,76.58,0.6589999999999918,9.0,15.707865168539326,78.42134831460675,1009.9016853932583,1,3.475280898876404,18.942134831460674,0,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
21,VER,red_bull,-7.5,Australia,2025,76.002,0.08099999999998886,0.0,15.707865168539326,78.42134831460675,1009.9016853932583,1,3.475280898876404,18.942134831460674,0,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
22,RUS,mercedes,-6.0,Australia,2025,75.96,0.03899999999998727,-2.0,15.707865168539326,78.42134831460675,1009.9016853932583,1,3.475280898876404,18.942134831460674,0,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
